end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-03-24,936.0,5.145848100808947e-05,2.515523201532591e-05,0.16870225210017128,0.017595236614625347,9.57,0.3733256414798285,0.0,25839.0,3.0,36.0,9.4122745226295,24941900.0,25359862.0
2020-03-25,709.3333333333334,0.00028356296247475984,5.75987006538944e-05,0.12193506033079951,0.012476796588746775,10.383333333333333,0.2934310823689195,0.0003333333333333333,17709.666666666668,4.0,50.333333333333336,10.184525500835402,24883457.0,25359862.0
2020-03-26,482.6666666666667,0.0005156674439414301,9.004216929246289e-05,0.07516786856142772,0.007358356562868202,11.196666666666667,0.2135365232580105,0.0006666666666666666,9580.333333333334,5.0,64.66666666666667,10.956776479041302,24825014.0,25359862.0
2020-03-27,256.0,0.0007477719254081005,0.00012248563793103138,0.02840067679205593,0.002239916536989629,12.01,0.1336419641471015,0.001,1451.0,6.0,79.0,11.729027457247204,24766571.0,25359862.0
2020-03-28,459.5,0.0007653038107127536,0.0001867757331159035,0.052761928383580445,0.00344974870417047,13.817499999999999,0.1428727681384574,0.00075,1700.25,5.75,90.0,15.162267006947172,24703538.333333332,25359862.0
2020-03-29,663.0,0.0007828356960174069,0.0002510658283007756,0.07712317997510496,0.004659580871351311,15.625,0.15210357212981326,0.0005,1949.5,5.5,101.0,18.595506556647138,24640505.666666668,25359862.0
2020-03-30,658.0,0.00012957238310445566,0.00016319425132013877,0.05796793539568505,0.002849716669816718,20.365000000000002,0.09777482524249266,0.0,2828.5,7.5,182.5,22.028746106347107,24577473.0,25359862.0
2020-03-31,810.1,0.0004959843881791183,0.0002935182107439691,0.07613093607569402,0.005991513924936167,12.528,0.17604102402599472,0.00030000000000000003,2011.3,7.1,96.3,16.178805285888387,24502375.0,25359862.0
2020-04-01,882.55,0.0008417412597165126,0.00028227293757057,0.06310019573110293,0.0083970140274713,8.524000000000001,0.12646808688165434,0.00065,2228.65,10.05,78.65,10.25909991259022,24424467.0,25359862.0
2020-04-02,955.0,0.001187498131253907,0.0002710276643971708,0.05006945538651185,0.010802514130006434,4.52,0.07689514973731396,0.001,2446.0,13.0,61.0,4.339394539292051,24346559.0,25359862.0
2020-04-03,1202.5,0.0003572923220770529,0.00039895038594312183,0.08228225627833996,0.012791826995789903,6.234999999999999,0.1367729899890554,0.0005,2095.5,10.0,65.0,5.93206930700175,24263945.0,25359862.0
2020-04-04,1046.0,0.0005677535414929832,0.00039225740824667575,0.051781606285948203,0.01220139647037483,4.2509999999999994,0.1408702133704744,0.0005,1916.1,13.8,60.6,4.001357488853843,24175846.0,25359862.0
2020-04-05,936.0,0.00013848931124397766,0.0003926228288916349,0.0423538459624008,0.01182307528103721,3.285,0.11105517179787097,0.0,1644.0,17.0,53.5,2.070645670705937,24087747.0,25359862.0
2020-04-06,1141.0,0.0006542936170113935,0.0005084375448467626,0.04599644456083183,0.01625374322927237,2.74,0.11976996386225822,0.001,1558.0,17.0,48.0,2.594668896068914,24014761.0,25359862.0
2020-04-07,1249.0,0.008963148161774754,0.0003862951329586375,0.03679677571228434,0.020814956990175406,1.72,0.10868144638906793,0.009000000000000001,13337.5,22.5,41.0,1.6232768742984482,23933766.0,25359862.0
2020-04-08,833.0,0.020357255970666732,0.0003166806695062656,0.014030284303391864,0.012824360135565847,1.05,0.10222378186379016,0.02,1826.0,41.0,45.0,0.9874342336720918,23848758.0,25359862.0
2020-04-09,758.6666666666666,0.018166778066576673,0.0002466934233288723,0.018431881238703044,0.014380333368220742,1.2166666666666668,0.10238964528457535,0.018000000000000002,21199.333333333332,29.666666666666668,36.0,1.358782725237227,23764512.0,25359862.0
2020-04-10,1174.0,0.02109413399015058,5.300574818728335e-05,0.03321578177372014,0.02244486894790522,1.45,0.10009676055423923,0.021,15380.0,24.0,36.0,1.3532726380766584,23668143.0,25359862.0
2020-04-11,944.5,0.014500149225112653,0.0004242742821698993,0.017167934654937357,0.020218589587638156,0.7949999999999999,0.11086174876322086,0.0145,3431.5,39.0,31.5,0.6604029264828019,23588348.0,25359862.0
2020-04-12,666.0,0.009082090182044625,0.00028899035612312766,0.010526138412178455,0.013460243107788929,0.76,0.11607529293519372,0.009,1767.0,43.5,34.0,0.7139293636534774,23513182.0,25359862.0
2020-04-13,1389.0,0.02403495908828523,0.00031440149344225067,0.02177739500733198,0.030275171571178164,0.6950000000000001,0.1049956182545009,0.024,3238.5,44.0,31.5,0.6840526608543847,23442542.0,25359862.0
2020-04-14,1053.7777777777778,0.010494189842561676,0.0003243714803764996,0.014308928928582872,0.01984817977455588,0.7966666666666666,0.13000705230998735,0.010555555555555556,17328.555555555555,51.55555555555556,41.44444444444444,0.5301925637450235,23383670.0,25359862.0
2020-04-15,1143.625,0.015622968166406638,0.00026319701785042194,0.013844260138762369,0.028483247614207143,0.4725,0.09756391254859059,0.01575,3279.0,57.25,27.25,0.4389683183212906,23295442.5,25359862.0
2020-04-16,1139.125,0.013522338111341195,0.00032196462586110865,0.013624014085169686,0.02720936909005164,0.47375,0.09063436143111007,0.013500000000000002,3007.875,64.625,29.125,0.3477440728975576,23207215.0,25359862.0
2020-04-17,1141.4285714285713,0.020162362724967353,0.00024623327158490945,0.010075660112876904,0.02438823216306308,0.40571428571428575,0.10993768135037016,0.020142857142857146,27228.571428571428,81.0,32.142857142857146,0.3373156474589649,23119671.0,25359862.0
2020-04-18,1136.2727272727273,0.018476147959023945,0.00021469580822547593,0.008848147817606181,0.02968322623125883,0.33545454545454545,0.10807333673447093,0.01863636363636364,24568.909090909092,90.36363636363636,29.818181818181817,0.20487013908040985,23039077.0,25359862.0
2020-04-19,386.0,0.03641923781687176,8.598487757759486e-05,0.0029703602270050107,0.0346680437876385,0.08,0.1858114299762565,0.036,3117.0,90.0,7.0,0.07242463070185477,22958483.0,25359862.0
2020-04-20,873.6923076923077,0.024284314903470047,0.00013002676003517913,0.005238887483865451,0.05646321277469427,0.08846153846153845,0.26138334268563806,0.024153846153846154,13411.0,123.46153846153847,10.307692307692308,0.08122616242943279,22887603.0,25359862.0
2020-04-21,988.625,0.034127327487801874,0.0001339702026498197,0.00564547164461107,0.06317308196873063,0.085625,0.21638797409073934,0.034125,10910.3125,133.0,10.6875,0.07195855876502799,22810739.0,25359862.0
2020-04-22,1046.6666666666667,0.03825307345362803,0.0002132715183026688,0.005953300743686583,0.05163504012436391,0.10333333333333336,0.25755043186541005,0.03827777777777779,4295.5,171.27777777777777,14.277777777777779,0.0358612393080057,22735902.0,25359862.0
2020-04-23,761.125,0.1217440418403592,0.00012718182570199102,0.001878028773502307,0.03410946363150988,0.051250000000000004,0.2199717881020451,0.122,5977.625,992.625,15.75,0.0,22650977.0,25359862.0
2020-04-24,789.1111111111111,0.13434398330558273,9.867710947499643e-05,0.0020998097896459743,0.03530244083530378,0.06333333333333334,0.24190503773391578,0.13444444444444445,533939.2222222222,439.1111111111111,15.444444444444445,0.008857743784252454,22557046.5,25359862.0
2020-04-25,950.1666666666666,0.08391853816804501,0.00012670898704843927,0.0016265811416051046,0.037441457575611764,0.04,0.2937820322532963,0.084,6776.0,733.1666666666666,17.166666666666668,0.01771548756850491,22463116.0,25359862.0
2020-04-26,799.7777777777778,0.08840419038298905,0.00010548682615458523,0.002591727539317064,0.03176312731176732,0.08222222222222224,0.3111014701382027,0.08833333333333332,16724.555555555555,339.8888888888889,17.333333333333332,0.017656552705215826,22388387.0,25359862.0
2020-04-27,894.3333333333334,0.08675409170997493,9.836352647129654e-05,0.003589467372887024,0.03714860633624599,0.08166666666666667,0.3269509303743827,0.08683333333333333,13184.833333333334,271.0,16.5,0.05268392509391416,22315925.5,25359862.0
2020-04-28,787.3333333333334,0.08540977218135659,0.0002676175097578494,0.002431466952384621,0.04161841969706876,0.04833333333333334,0.34950037220878,0.08516666666666667,4269.333333333333,336.0,12.833333333333334,0.08771129748261249,22243464.0,25359862.0
2020-04-29,735.0,0.14797543665970264,0.0002243512880426284,0.0022508553244014857,0.041273955952222205,0.045,0.3495599473313471,0.1479,3243.0,318.4,12.1,0.056813733450126816,22165976.0,25359862.0
2020-04-30,812.2222222222222,0.15613406453229894,0.00038374496625506824,0.001944926936284142,0.03763889763612455,0.04333333333333334,0.2795848403317896,0.15622222222222223,2142.3333333333335,374.44444444444446,14.555555555555555,0.017431495486844528,22103016.0,25359862.0
2020-05-01,825.6,0.17806618911693917,0.00019241255993091138,0.0033954438092552624,0.037419826105015874,0.069,0.31107774432005764,0.1781,5452.1,277.0,15.0,0.130222031570992,22016085.0,25359862.0
2020-05-02,788.6,0.07181664510325406,0.00040978372671408365,0.003350693581988953,0.03197622888058354,0.094,0.3118616871008307,0.0718,1712.4,183.0,17.0,0.11243071709144159,21932519.0,25359862.0
2020-05-03,893.6666666666666,0.14438447121867007,0.00024660238614907166,0.004820620166567059,0.036938609639269274,0.12666666666666668,0.32750813503838694,0.14433333333333334,3607.6666666666665,155.33333333333334,16.333333333333332,0.12945096112904714,21934609.0,25359862.0
2020-05-04,898.6,0.09151678777145737,0.00036732009469251194,0.009630823069207213,0.040076802566855765,0.21200000000000002,0.273250133986973,0.0916,7939.2,74.8,15.0,0.18243811673738602,21837867.8,25359862.0
2020-05-05,831.5,0.08363581795139496,0.00039423571388903886,0.007002911729916766,0.03892486207947443,0.16374999999999998,0.36879747853010725,0.08375000000000002,1725.625,84.25,14.625,0.14055121539107743,21766852.5,25359862.0
