end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-04-12,902.0,0.016226224502448823,0.0012740858237931742,0.015311875969761194,0.0,11.82,0.06053660995333446,0.016,491.0,40.0,0.0,11.243399387874119,36009259.0,37855939.0
2020-04-13,810.0,0.035485396564318955,0.0009781705010872082,0.01404202250086337,0.0,14.615,0.05422373473555574,0.035500000000000004,608.0,39.0,0.0,13.872272943090913,35944503.0,37855939.0
2020-04-14,718.0,0.05474456862618909,0.0006822551783812422,0.012772169031965543,0.0,17.41,0.04791085951777702,0.055,725.0,38.0,0.0,16.501146498307705,35879747.0,37855939.0
2020-04-15,946.0,0.08575706699594782,0.0006704510623136117,0.013173233829115404,0.0,17.805,0.04378930217988554,0.08600000000000001,981.0,49.0,0.0,16.833109194174263,35791519.5,37855939.0
2020-04-16,1174.0,0.11676956536570654,0.0006586469462459812,0.013574298626265266,0.0,18.2,0.039667744841994056,0.117,1237.0,60.0,0.0,17.16507189004082,35703292.0,37855939.0
2020-04-17,991.0,0.07785501874930864,0.0006696723032506383,0.012148853518979978,0.0,16.613333333333333,0.03211840469768501,0.07800000000000001,1033.6666666666667,55.333333333333336,0.0,15.639193938191134,35620381.333333336,37855939.0
2020-04-18,808.0,0.03894047213291073,0.0006806976602552954,0.010723408411694689,0.0,15.026666666666666,0.024569064553375958,0.03900000000000001,830.3333333333333,50.666666666666664,0.0,14.113315986341448,35537470.666666664,37855939.0
2020-04-19,625.0,2.5925516512830763e-05,0.0006917230172599525,0.009297963304409402,0.0,13.44,0.01701972440906691,0.0,627.0,46.0,0.0,12.587438034491761,35454560.0,37855939.0
2020-04-20,1349.0,0.052155603248336777,0.0012006361927332893,0.022059563764485715,0.0,17.41,0.05773531687173569,0.052,780.0,42.0,0.0,16.27300458192306,35383680.0,37855939.0
2020-04-21,1197.5,0.02728429772316628,0.0010873818772783165,0.01962068878124356,0.0,17.505000000000003,0.038620527660298484,0.027,762.5,42.0,0.0,16.326535965730503,35307829.5,37855939.0
2020-04-22,1046.0,0.002412992197995785,0.0009741275618233439,0.0171818137980014,0.0,17.6,0.019505738448861276,0.002,745.0,42.0,0.0,16.380067349537946,35231979.0,37855939.0
2020-04-23,1103.0,0.006968385683084574,0.000997761236507406,0.018274285557368153,0.0,18.137500000000003,0.019016498159288103,0.006750000000000001,765.5,41.75,0.0,16.834984962333124,35145100.25,37855939.0
2020-04-24,1160.0,0.011523779168173362,0.001021394911191468,0.0193667573167349,0.0,18.675,0.01852725786971493,0.011500000000000002,786.0,41.5,0.0,17.289902575128306,35058221.5,37855939.0
2020-04-25,1217.0,0.016079172653262152,0.0010450285858755303,0.02045922907610165,0.0,19.2125,0.01803801758014176,0.01625,806.5,41.25,0.0,17.744820187923487,34971342.75,37855939.0
2020-04-26,1274.0,0.020634566138350942,0.0010686622605595923,0.021551700835468403,0.0,19.75,0.017548777290568588,0.021,827.0,41.0,0.0,18.199737800718665,34884464.0,37855939.0
2020-04-27,825.5,0.019566118825860686,0.0006550089876102966,0.013722932135085963,0.0,21.86,0.02141296201053138,0.0195,955.5,42.5,0.0,20.098232958506195,34812002.5,37855939.0
2020-04-28,377.0,0.018497671513370433,0.00024135571466100085,0.005894163434703522,0.0,23.97,0.02527714673049417,0.018,1084.0,44.0,0.0,21.99672811629372,34739541.0,37855939.0
2020-04-29,498.3333333333333,0.018053208039969813,0.00029850145370069996,0.007118490310661429,0.0,23.691666666666666,0.02377372154900804,0.017666666666666664,1122.1666666666667,46.166666666666664,0.0,21.695491875352328,34661764.833333336,37855939.0
2020-04-30,619.6666666666666,0.017608744566569193,0.00035564719274039906,0.008342817186619335,0.0,23.413333333333334,0.02227029636752191,0.017333333333333333,1160.3333333333333,48.333333333333336,0.0,21.394255634410936,34583988.666666664,37855939.0
2020-05-01,741.0,0.017164281093168574,0.0004127929317800982,0.009567144062577242,0.0,23.134999999999998,0.020766871186035783,0.017,1198.5,50.5,0.0,21.093019393469543,34506212.5,37855939.0
2020-05-02,862.3333333333333,0.016719817619767957,0.0004699386708197973,0.010791470938535146,0.0,22.856666666666666,0.019263446004549656,0.016666666666666666,1236.6666666666667,52.666666666666664,0.0,20.79178315252815,34428436.333333336,37855939.0
2020-05-03,983.6666666666666,0.016275354146367337,0.0005270844098594964,0.012015797814493055,0.0,22.578333333333333,0.01776002082306353,0.01633333333333333,1274.8333333333333,54.83333333333333,0.0,20.49054691158676,34350660.166666664,37855939.0
2020-05-04,1105.0,0.015830890672966717,0.0005842301488991955,0.01324012469045096,0.0,22.3,0.016256595641577398,0.016,1313.0,57.0,0.0,20.189310670645366,34272884.0,37855939.0
2020-05-05,1416.0,0.015627872270110216,0.0009896411533732896,0.02078629381057137,0.0,20.68,0.03394781828490294,0.016,993.0,47.0,0.0,18.67913958335573,34193248.0,37855939.0
2020-05-06,1287.3636363636365,0.03594537932811045,0.08199796915184636,0.018898221026988682,2.0282708922805126e-07,18.8,0.6636806593265501,0.036272727272727276,902.7272727272727,46.27272727272727,28.272727272727273,16.981035984868846,34104941.0,37855939.0
2020-05-07,1158.7272727272727,0.05626288638611068,0.16300629715031945,0.017010148243405993,4.056541784561025e-07,16.92,1.2934135003681972,0.056545454545454545,812.4545454545455,45.54545454545455,56.54545454545455,15.282932386381962,34016634.0,37855939.0
2020-05-08,1030.090909090909,0.07658039344411091,0.24401462514879252,0.0151220754598233,6.084812676841538e-07,15.04,1.9231463414098444,0.07681818181818181,722.1818181818182,44.81818181818182,84.81818181818181,13.584828787895077,33928327.0,37855939.0
2020-05-09,901.4545454545455,0.09689790050211114,0.3250229531472656,0.01323400267624061,8.11308356912205e-07,13.16,2.5528791824514916,0.09709090909090909,631.909090909091,44.09090909090909,113.0909090909091,11.886725189408192,33840020.0,37855939.0
