end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-03-30,645.0,0.07187738062972904,0.0008714524682353788,0.07496599835706537,0.004687127920217739,12.52,0.27789697994712786,0.072,513.0,5.0,95.0,12.112702275259874,23267611.0,24050000.0
2020-03-31,648.25,0.05979700515575807,0.0007665284686251069,0.08810956185155312,0.004791537329294451,14.9925,0.3060097810945304,0.06,637.5,4.5,93.5,14.431730448960497,23189229.0,24050000.0
2020-04-01,651.5,0.0477166296817871,0.0006616044690148349,0.10125312534604086,0.004895946738371164,17.465,0.3341225822419329,0.048,762.0,4.0,92.0,16.750758622661124,23110847.0,24050000.0
2020-04-02,654.75,0.03563625420781613,0.0005566804694045628,0.11439668884052862,0.005000356147447876,19.9375,0.3622353833893355,0.036,886.5,3.5,90.5,19.069786796361747,23032465.0,24050000.0
2020-04-03,658.0,0.023555878733845168,0.0004517564697942908,0.12754025233501637,0.005104765556524588,22.41,0.39034818453673803,0.024,1011.0,3.0,89.0,21.38881497006237,22954083.0,24050000.0
2020-04-04,740.4,0.01890636324051025,0.0004346308083068869,0.11160163432059364,0.006492880376515437,18.698,0.37282345547981127,0.019200000000000002,1214.6,5.4,83.4,17.832671515343037,22871045.6,24050000.0
2020-04-05,822.8,0.01425684774717533,0.000417505146819483,0.0956630163061709,0.007880995196506285,14.986,0.35529872642288457,0.0144,1418.2,7.8,77.8,14.2765280606237,22788008.2,24050000.0
2020-04-06,905.2,0.00960733225384041,0.0004003794853320791,0.07972439829174816,0.009269110016497134,11.274000000000001,0.3377739973659578,0.0096,1621.8,10.2,72.2,10.720384605904368,22704970.8,24050000.0
2020-04-07,987.6,0.004957816760505492,0.0003832538238446751,0.06378578027732543,0.010657224836487983,7.562000000000001,0.3202492683090311,0.004799999999999999,1825.4,12.6,66.6,7.164241151185033,22621933.4,24050000.0
2020-04-08,1070.0,0.00030830126717057297,0.0003661281623572712,0.047847162262902684,0.012045339656478832,3.85,0.30272453925210435,0.0,2029.0,15.0,61.0,3.608097696465697,22538896.0,24050000.0
2020-04-09,276.0,0.0009246645369338398,0.0007345070410931253,0.022918519206031274,0.002323236189705143,7.49,0.5313228372244077,0.001,260.0,8.0,82.0,6.993152952182952,22454650.0,24050000.0
2020-04-10,765.5,0.0007748807020916713,0.0008704107670202023,0.043943767575815376,0.011592109307108417,5.23,0.32113302067481636,0.001,563.0,10.5,61.5,4.872191931808732,22366568.0,24050000.0
2020-04-11,1255.0,0.0006250968672495028,0.0010063144929472793,0.06496901594559948,0.02086098242451169,2.97,0.11094320412522504,0.001,866.0,13.0,41.0,2.7512309114345115,22278486.0,24050000.0
2020-04-12,970.0,0.00016935717326696173,0.0006481520077524628,0.040139663177883374,0.012257771244379849,3.11,0.2644230089382662,0.0,1039.0,16.0,54.0,2.871198553014553,22203320.0,24050000.0
2020-04-13,954.0,0.011433299577966332,0.00044707254038223263,0.024525850985076043,0.00957658339638724,1.9975,0.23496518904754077,0.0115,1852.75,250.75,132.75,1.841738987110187,22138564.0,24050000.0
2020-04-14,938.0,0.022697241982665702,0.0002459930730120025,0.008912038792268713,0.006895395548394633,0.885,0.20550736915681536,0.023,2666.5,485.5,211.5,0.8122794212058212,22073808.0,24050000.0
2020-04-15,784.0,0.292064085494728,0.00022134364588634103,0.005282537320183122,0.007657588392160913,0.4825,0.19879868389042288,0.29200000000000004,2445.25,374.75,131.25,0.4425594245322245,21985580.5,24050000.0
2020-04-16,630.0,0.5614309290067903,0.00019669421876067954,0.0016530358480975292,0.008419781235927192,0.08,0.1920899986240304,0.561,2224.0,264.0,51.0,0.07283942785862786,21897353.0,24050000.0
2020-04-17,1025.0,0.02291420515953638,0.0005209648694920171,0.023454986944335263,0.01281200827688232,1.72,0.17810622323539488,0.023,1366.0,30.0,55.0,1.5597867559251557,21809809.0,24050000.0
2020-04-18,1104.0,0.14514332071327204,0.00039666783232639104,0.020279907245163535,0.016034506290805123,1.18,0.20901033495957283,0.14500000000000002,2191.0,39.0,48.5,1.0679415575883575,21729215.0,24050000.0
2020-04-19,1183.0,0.2673724362670077,0.000272370795160765,0.01710482754599181,0.019257004304727928,0.64,0.2399144466837508,0.267,3016.0,48.0,42.0,0.5760963592515592,21648621.0,24050000.0
2020-04-20,1164.0,0.04714814594928316,0.0007450080281636382,0.01785211436722524,0.013333939356359025,1.21,0.3146780798044731,0.047,1084.0,45.0,60.0,1.0856160752598751,21577741.0,24050000.0
2020-04-21,1204.0,0.17887766175410608,0.00039646025972541414,0.018426788786154953,0.03384902911869063,0.725,0.2666706157505959,0.179,9557.0,45.0,37.5,0.6497155137214137,21501890.5,24050000.0
2020-04-22,1244.0,0.310607177558929,4.791249128719007e-05,0.019001463205084664,0.05436411888102223,0.24,0.21866315169671868,0.311,18030.0,45.0,15.0,0.21381495218295216,21426040.0,24050000.0
2020-04-23,1203.0,0.0855507903388689,0.0008916530651511684,0.04578837430724217,0.036288021918859895,1.13,0.25330219742516213,0.086,936.0,18.0,23.0,1.0027218274428273,21341115.0,24050000.0
2020-04-24,1165.0,0.04279227498785321,0.0007700998524794278,0.06203579778781159,0.05093572134653043,1.1549999999999998,0.22076626204487293,0.043,1071.0,13.5,17.0,1.0202972904365903,21247184.5,24050000.0
2020-04-25,1127.0,3.375963683751454e-05,0.0006485466398076871,0.07828322126838101,0.06558342077420097,1.18,0.1882303266645837,0.0,1206.0,9.0,11.0,1.0378727534303533,21153254.0,24050000.0
2020-04-26,1280.0,0.03390494321419978,0.0008644272596995248,0.08143689168169903,0.06563823633437292,1.18,0.34200773537641593,0.034,1028.0,10.0,13.0,1.0342062162162162,21078525.0,24050000.0
2020-04-27,1204.5,0.02548995399882597,0.0010703595611498665,0.09723653848626887,0.08214927040377346,1.145,0.2643496746003594,0.025500000000000002,821.0,8.0,10.0,1.0001862311850314,21006063.5,24050000.0
2020-04-28,1129.0,0.017074964783452152,0.001276291862600208,0.11303618529083871,0.098660304473174,1.11,0.18669161382430285,0.017,614.0,6.0,7.0,0.9661662461538463,20933602.0,24050000.0
2020-04-29,1224.0,0.05142953449817941,0.00031676180911320285,0.08114365628999734,0.08182652818977162,0.94,0.25171162634454314,0.051,2683.0,10.0,10.0,0.815166202079002,20856114.0,24050000.0
2020-04-30,1275.0,0.0396698854594185,0.00028800949459072367,0.07802300756431581,0.07027265694160105,1.085,0.16124519677653731,0.0395,3117.0,11.0,12.5,0.9370769532224532,20781168.5,24050000.0
2020-05-01,1326.0,0.027910236420657587,0.0002592571800682445,0.07490235883863428,0.058718785693430475,1.23,0.07077876720853146,0.028,3551.0,12.0,15.0,1.0589877043659044,20706223.0,24050000.0
2020-05-02,412.0,0.025275644345078313,2.23730420737946e-05,0.024568117345771148,0.022785402600370173,1.05,0.18656994863520257,0.025,12788.0,11.0,12.0,0.9003654823284823,20622657.0,24050000.0
2020-05-03,521.25,0.023139325925356266,0.00022676276450975618,0.02621607266752365,0.014938112420698058,3.2875000000000005,0.2351227264367931,0.023,6897.75,13.0,50.0,2.801115612785863,20544801.0,24050000.0
2020-05-04,630.5,0.021003007505634216,0.00043115248694571777,0.027864027989276154,0.007090822241025943,5.525,0.2836755042383836,0.021,1007.5,15.0,88.0,4.701865743243244,20466945.0,24050000.0
2020-05-05,506.0,0.033893731447295454,0.00033653426943334666,0.02477495825877047,0.011823965013832486,1.97,0.40508764081932447,0.034,1044.0,14.0,29.0,1.669979157172557,20387309.0,24050000.0
2020-05-06,810.75,0.0323463355797785,0.0004050376498619412,0.03677918798444642,0.011972690244323316,3.9775,0.30713310622300605,0.0325,1376.0,14.75,69.5,3.3489735239085237,20295795.5,24050000.0
2020-05-07,1115.5,0.030798939712261542,0.00047354103029053566,0.048783417710122366,0.012121415474814148,5.984999999999999,0.20917857162668763,0.031,1708.0,15.5,110.0,5.02796789064449,20204282.0,24050000.0
2020-05-08,586.0,0.01979847590599742,0.0008921844713615757,0.026880249447297805,0.011154902995839303,2.19,0.18614038458126617,0.02,456.0,15.0,36.0,1.8313987459459458,20111936.0,24050000.0
2020-05-09,758.0,0.0789306433235456,0.0008642851025343415,0.02637899731039462,0.014172209382317183,1.8725,0.1919026777958739,0.07899999999999999,610.25,20.25,37.25,1.5605976693347192,20030118.5,24050000.0
2020-05-10,930.0,0.13806281074109378,0.0008363857337071074,0.025877745173491434,0.017189515768795065,1.555,0.1976649710104816,0.13799999999999998,764.5,25.5,38.5,1.2897965927234927,19948301.0,24050000.0
2020-05-11,892.0,0.07743983351111286,0.00037043038604211824,0.03403018093813288,0.021101981711921073,1.46,0.22120916301035556,0.077,1672.0,18.0,29.0,1.2063968465696466,19872496.0,24050000.0
2020-05-12,835.0,0.07945150232243711,0.0003149858932153343,0.034536229733172316,0.0331709508753202,1.085,0.18328657955021604,0.079,1876.5,16.5,20.0,0.8940324611226611,19787739.0,24050000.0
2020-05-13,778.0,0.08146317113376138,0.00025954140038855045,0.035042278528211755,0.045239920038719336,0.71,0.14536399609007655,0.081,2081.0,15.0,11.0,0.5816680756756756,19702982.0,24050000.0
2020-05-14,882.3333333333334,0.06181342938346769,0.0004027883316334869,0.04685343641039504,0.04686788514404431,0.9266666666666666,0.16742814458291402,0.06166666666666667,1753.6666666666667,13.333333333333334,12.333333333333334,0.7537616349272349,19607298.666666668,24050000.0
2020-05-15,986.6666666666666,0.042163687633174005,0.0005460352628784233,0.05866459429257834,0.04849585024936929,1.1433333333333333,0.18949229307575152,0.042333333333333334,1426.3333333333335,11.666666666666666,13.666666666666666,0.9258551941787942,19511615.333333332,24050000.0
2020-05-16,1091.0,0.022513945882880314,0.0006892821941233597,0.07047575217476162,0.05012381535469426,1.36,0.211556441568589,0.023,1099.0,10.0,15.0,1.0979487534303536,19415932.0,24050000.0
2020-05-17,681.0,0.08097970517158438,0.0003210060809403354,0.031520755007315195,0.013147708447215562,2.2125,0.22252857022946979,0.08099999999999999,14140.125,14.75,38.0,1.7861850124740124,19415932.0,24050000.0
2020-05-18,784.1818181818181,0.08934637613779398,0.0005255821607650185,0.026111343065894455,0.01064527825311925,2.396363636363636,0.22755864559234595,0.0891818181818182,1860.6363636363637,20.90909090909091,57.0,1.9259768768852767,19342814.636363637,24050000.0
2020-05-19,917.0,0.06056845796755868,0.0013661335873830758,0.029363319448521056,0.01162780158950283,2.12,0.2791985699569814,0.061,466.0,21.0,54.0,1.6967102220374222,19248057.0,24050000.0
2020-05-20,873.6666666666666,0.10345867081220672,0.0005675791149156423,0.02950660269202446,0.011885309089711102,2.1033333333333335,0.3035115069918383,0.10333333333333333,2632.6666666666665,20.666666666666668,51.333333333333336,1.6750149061677062,19152508.0,24050000.0
2020-05-21,697.6,0.08780225261966135,0.0004488089866880924,0.02866851171924838,0.006906966698861783,7.719999999999999,0.2976217475762584,0.08780000000000002,1348.8,23.0,433.4,6.106873727733888,19032337.6,24050000.0
