end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-03-30,590.0,0.00023285725452087936,0.00022470446760445832,0.06043725673703211,0.006816257566474468,8.58,0.1358488233238446,0.0,1823.0,6.0,60.0,8.208094314681441,17267611.0,18050000.0
2020-03-31,735.0,0.000693138764994857,0.0004384555782593511,0.08109524933355813,0.006365012504548988,12.175,0.23528942148852372,0.001,1222.5,6.0,83.0,11.596611954293628,17192513.0,18050000.0
2020-04-01,673.0,0.0005102485669128582,0.00048545517399236813,0.06814875936959615,0.008378121667165098,8.6125,0.19301700476575354,0.0005,1009.25,6.5,61.5,8.181555834487535,17114605.0,18050000.0
2020-04-02,611.0,0.0003273583688308593,0.0005324547697253851,0.05520226940563416,0.010391230829781209,5.05,0.15074458804298335,0.0,796.0,7.0,40.0,4.76649971468144,17036697.0,18050000.0
2020-04-03,1071.0,0.00048545137851035774,0.000714645648353427,0.10391003490144846,0.01568551242666033,6.33,0.18057840130627342,0.0,1040.0,7.0,47.0,5.945670104709142,16954083.0,18050000.0
2020-04-04,1142.0,0.0013430433709298584,0.0008354147249407184,0.108704717414314,0.02202291635934705,5.095,0.1231814379381895,0.001,960.0,7.0,38.0,4.7668138916897504,16865984.0,18050000.0
2020-04-05,1213.0,0.0022006353633493587,0.0009561838015280099,0.11349939992717956,0.028360320292033763,3.86,0.0657844745701056,0.002,880.0,7.0,29.0,3.58795767867036,16777885.0,18050000.0
2020-04-06,1424.0,6.526590729529717e-05,0.001200658085117656,0.1087651792047374,0.027006454659040106,3.86,0.17493120280364727,0.0,823.0,9.0,36.0,3.5723495922437674,16704899.0,18050000.0
2020-04-07,1329.0,0.00031471592661929846,0.0011921087834003026,0.10910552176727914,0.02770740591002366,3.77,0.17129305213781018,0.0,774.0,8.0,33.0,3.4721395058171742,16623904.0,18050000.0
2020-04-08,811.0,0.00013193761086084102,0.0009275406680337762,0.05124936257917079,0.019903420368859538,2.46,0.07660866250363597,0.0,607.0,10.0,28.0,2.2540545240997227,16538896.0,18050000.0
2020-04-09,1257.0,0.000197695344190697,0.0010386198136708251,0.09556518160861988,0.03125249919110329,2.96,0.09993940746798591,0.0,840.0,9.0,27.0,2.6983802770083103,16454650.0,18050000.0
2020-04-10,1307.0,0.008198239716422548,0.0006077114232194766,0.09433010048091038,0.04039150592068909,2.4,0.06831418199543854,0.008,3085.0,9.5,23.0,2.178896904155125,16366568.0,18050000.0
2020-04-11,1357.0,0.0161987840886544,0.00017680303276812812,0.09309501935320089,0.04953051265027488,1.84,0.03668895652289117,0.016,5330.0,10.0,19.0,1.6594135313019391,16278486.0,18050000.0
2020-04-12,584.0,0.002493469548899897,0.0005085307025097217,0.03896526238924831,0.01703702273062641,2.22,0.0949509057736781,0.002,797.0,10.0,23.0,1.9928737063711914,16203320.0,18050000.0
2020-04-13,941.5,0.0013882243451303056,0.0009217005451848636,0.05897692434040326,0.0340275823657345,1.8725,0.07535947369078283,0.001,737.25,10.5,20.25,1.6754550581717451,16138564.0,18050000.0
2020-04-14,1299.0,0.000282979141360714,0.0013348703878600056,0.07898858629155822,0.05101814200084258,1.525,0.055768041607887564,0.0,677.5,11.0,17.5,1.358036409972299,16073808.0,18050000.0
2020-04-15,812.5,0.008448067256136789,0.0006855124084395328,0.047115000743589576,0.0316689748741614,1.3675,0.04164233107320337,0.0085,3469.25,12.5,17.75,1.2118657709141272,15985580.5,18050000.0
2020-04-16,326.0,0.016613155370912864,3.6154429019060044e-05,0.015241415195620936,0.012319807747480213,1.21,0.02751662053851918,0.017,6261.0,14.0,18.0,1.0656951318559555,15897353.0,18050000.0
2020-04-17,1367.0,0.01709911468020539,3.051138168989637e-05,0.08607421010319011,0.05496412069604787,1.54,0.05529484704675293,0.017,33726.5,10.5,16.5,1.3488701307479225,15809809.0,18050000.0
2020-04-18,1391.5,0.008947754658635988,0.0006410162961243046,0.08274383422564453,0.05800104711410076,1.405,0.04596437879550286,0.009000000000000001,17255.75,11.25,16.25,1.2249544191135735,15729215.0,18050000.0
2020-04-19,1416.0,0.0007963946370665867,0.0012515212105587128,0.07941345834809896,0.06103797353215364,1.27,0.036633910544252794,0.001,785.0,12.0,16.0,1.1010387074792245,15648621.0,18050000.0
2020-04-20,1236.0,0.015962974050492646,3.0582808783539625e-05,0.06929101775456789,0.05462745120208939,1.25,0.05159746298124755,0.016,28065.0,12.0,15.0,1.0787909279778394,15577741.0,18050000.0
2020-04-21,736.0,0.014389210957037782,3.504476666302443e-05,0.03830508024578877,0.03074146601457034,1.23,0.07494975139187963,0.014,14584.0,13.0,16.0,1.0562924493074792,15500877.0,18050000.0
2020-04-22,666.0,0.0010812205051007988,0.0007967228940510377,0.037799292530642965,0.030724446439869935,1.2,0.02048104406011888,0.001,580.0,12.0,15.0,1.0255539058171745,15426040.0,18050000.0
2020-04-23,559.0,0.0016743853930523912,0.0005087701202080323,0.030234800888746735,0.024704456898966772,1.2,0.033591389854073055,0.002,763.0,12.0,15.0,1.019907922437673,15341115.0,18050000.0
2020-04-24,650.75,0.008840387437009172,0.0002956994163143138,0.03570908381160508,0.029784700668112826,1.1800000000000002,0.030557397994545113,0.009000000000000001,7756.5,12.0,14.75,0.9968729263157895,15247184.5,18050000.0
2020-04-25,742.5,0.016006389480965954,8.262871242059529e-05,0.04118336673446341,0.03486494443725888,1.1600000000000001,0.02752340613501717,0.016,14750.0,12.0,14.5,0.973837930193906,15153254.0,18050000.0
2020-04-26,613.5,0.00029255772365220016,0.0006890912123958257,0.03527193489298204,0.029106085052246287,1.185,0.03907095526582141,0.0,619.5,11.5,14.0,0.9899197853185595,15078525.0,18050000.0
2020-04-27,946.25,0.0011714197506187542,0.0008401857871310256,0.059202184734744,0.04564021425975549,1.2475,0.034419949389087004,0.001,757.75,10.75,14.0,1.0368717657894737,15006063.5,18050000.0
2020-04-28,1279.0,0.002050281777585308,0.0009912803618662256,0.08313243457650596,0.0621743434672647,1.31,0.029768943512352597,0.002,896.0,10.0,14.0,1.083823746260388,14933602.0,18050000.0
2020-04-29,680.5,0.009465048811738751,0.00032457011596878074,0.03769788919235877,0.031231536295567852,1.185,0.033797154004701,0.0095,7718.0,12.0,14.5,0.9753182875346259,14856114.0,18050000.0
2020-04-30,1212.0,0.01587942845763033,0.0001440282899030531,0.06692627770103696,0.056199829131010674,1.17,0.04745588166498906,0.016,5843.0,12.0,14.0,0.9588914227146814,14793154.0,18050000.0
2020-05-01,1192.0,0.014090044120820728,0.0001608984639308921,0.08125542831498653,0.050984933298272785,1.57,0.03126719381969113,0.014,5144.0,10.0,16.0,1.2791562387811635,14706223.0,18050000.0
2020-05-02,1410.0,0.016564549104488405,1.8656000634676077e-05,0.08212297918136256,0.06089082630158262,1.33,0.06652457683523265,0.017,52485.0,11.0,16.0,1.0774589368421055,14622657.0,18050000.0
2020-05-03,1158.0,0.0007739019145520073,0.0010286410502381655,0.07515808782915508,0.04758717635966353,1.54,0.09569074697640843,0.001,781.0,10.0,16.0,1.240810932963989,14543271.0,18050000.0
2020-05-04,1014.0,0.0009418277662213738,0.0008320515904176204,0.09148917207789237,0.04055304777134828,2.21,0.04317072537961439,0.001,846.0,7.0,17.0,1.771299083102493,14466945.0,18050000.0
2020-05-05,1190.0,1.4624319213646809e-05,0.0011756835785679306,0.08636778528028347,0.04939097686636189,1.71,0.09730252554942694,0.0,702.0,9.0,16.0,1.3630082210526315,14387309.0,18050000.0
2020-05-06,652.0,0.0004799095144465084,0.0004970192691638113,0.04944501689586,0.026251379501642903,1.85,0.09531636110523535,0.0,910.0,9.0,17.0,1.4651035540166206,14294659.0,18050000.0
2020-05-07,998.0,0.0008673057500787258,0.0005930517793785752,0.08324775412854826,0.0329525966792792,2.34,0.07205752442143358,0.001,1160.0,8.0,20.0,1.841441544598338,14204282.0,18050000.0
2020-05-08,1120.0,9.576920311763545e-05,0.0008367072866032734,0.08634719016637298,0.03928085645479867,2.15,0.08678740696642431,0.0,929.0,9.0,19.0,1.6809231246537395,14111936.0,18050000.0
2020-05-09,1060.0,0.0006844269842021032,0.0007558306882371922,0.08132684751063646,0.03742365637153097,2.13,0.08562554658880224,0.00075,980.75,8.75,19.25,1.6652866304709142,14111936.0,18050000.0
2020-05-10,873.4285714285714,0.0007182886274960871,0.0005616082872363008,0.06940721913421154,0.029394009496460736,2.365714285714286,0.07014268999994477,0.0007142857142857143,1172.0,8.142857142857142,20.571428571428573,1.8350014939453898,14003793.857142856,18050000.0
2020-05-11,988.4285714285714,0.0004977533225734332,0.0007175724945204997,0.08004534613369516,0.03277468372360646,2.382857142857142,0.07766843960214913,0.0004285714285714286,982.8571428571429,8.0,20.714285714285715,1.8413313567867036,13948570.285714285,18050000.0
2020-05-12,741.0,0.00012818463819277339,0.00040382327355787214,0.06160469364468882,0.024748435150339237,2.45,0.08769254403859392,0.0,1312.5,8.0,20.5,1.8829703711911359,13872496.0,18050000.0
