end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-04-05,936.0,0.0004985284195392463,0.0001545956494252473,0.06937449127764181,0.005636337362438467,11.97,0.034181487501555335,0.0,4204.0,9.0,115.0,-3.9416564522954904,-315130.0,956985.0
2020-04-06,720.3333333333334,0.00042411007038406273,0.00010388640604785593,0.06695826213216467,0.005886976123919794,11.22,0.12513822119108847,0.0,29909.666666666668,7.0,87.0,-4.503814542547689,-394793.0,956985.0
2020-04-07,504.6666666666667,0.0003496917212288792,5.317716267046458e-05,0.06454203298668754,0.00613761488540112,10.47,0.21609495488062158,0.0,55615.333333333336,5.0,59.0,-5.0659726327998875,-474456.0,956985.0
2020-04-08,289.0,0.0002752733720736957,2.467919293073226e-06,0.06212580384121041,0.006388253646882447,9.72,0.3070516885701547,0.0,81321.0,3.0,31.0,-5.628130723052086,-554119.0,956985.0
2020-04-09,363.6666666666667,0.013328920948164735,3.78781281219416e-05,0.05846093635322328,0.007933654566699496,7.95,0.28534676714830864,0.013,55306.33333333333,4.0,31.333333333333332,-5.00326415774542,-640922.3333333334,956985.0
2020-04-10,438.33333333333337,0.026382568524255773,7.328833695080998e-05,0.05479606886523616,0.009479055486516544,6.18,0.26364184572646265,0.026,29291.666666666664,5.0,31.666666666666668,-4.378397592438754,-727725.6666666666,956985.0
2020-04-11,513.0,0.03943621610034682,0.00010869854577967835,0.05113120137724903,0.011024456406333594,4.41,0.2419369243046166,0.039,3277.0,6.0,32.0,-3.753531027132087,-814529.0,956985.0
2020-04-12,592.3333333333334,0.026500408705995543,9.767396888308876e-05,0.08598064491589773,0.011851914912764218,6.756666666666666,0.188466204561922,0.026333333333333334,4483.333333333333,5.0,34.0,-6.567175706341618,-882755.0,956985.0
2020-04-13,671.6666666666666,0.013564601311644265,8.664939198649918e-05,0.12083008845454643,0.012679373419194844,9.103333333333332,0.1349954848192274,0.013666666666666667,5689.666666666666,4.0,36.0,-9.380820385551148,-950981.0,956985.0
2020-04-14,751.0,0.0006287939172929904,7.56248150899096e-05,0.15567953199319512,0.013506831925625469,11.45,0.08152476507653282,0.001,6896.0,3.0,38.0,-12.19446506476068,-1019207.0,956985.0
2020-04-15,903.0,0.00038566440452495246,4.669211591803801e-05,0.17254473848954383,0.018936789995638054,9.61,0.10816175814528942,0.0005,24074.5,3.0,34.0,-10.951171590986274,-1107434.5,956985.0
2020-04-16,1055.0,0.00014253489175691456,1.775941674616643e-05,0.18940994498589256,0.024366748065650635,7.77,0.134798751214046,0.0,41253.0,3.0,30.0,-9.70787811721187,-1195662.0,956985.0
