end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-03-18,643.0,0.0721079016735475,0.0013082033884438227,0.08247663511090289,0.008525455558698707,7.78,0.0992254984802379,0.072,341.0,5.0,52.0,7.762859675038443,97335085.0,97550000.0
2020-03-19,1294.0,0.0314394914737014,0.00020025564729328103,0.2628006155137249,0.02571777555217737,9.82,0.19497507650866716,0.031,4487.0,3.0,34.0,8.44832262070733,97305207.0,97550000.0
2020-03-20,844.0,0.024490770977371488,0.0005925036556397934,0.15862222045846652,0.015081377041891955,9.835,0.16141203428710826,0.0245,2382.0,4.0,47.5,9.133785566376218,97275329.0,97550000.0
2020-03-21,394.0,0.017542050481041578,0.000984751663986306,0.0544438254032081,0.004444978531606537,9.85,0.12784899206554937,0.018,277.0,5.0,61.0,9.819248512045105,97245451.0,97550000.0
2020-03-22,695.3333333333333,0.0408510509736406,0.0010329291123465107,0.08016166672089697,0.01898468981913455,7.379999999999999,0.11072682112222455,0.040999999999999995,450.66666666666663,5.333333333333333,46.666666666666664,7.356014206116521,97207646.66666667,97550000.0
2020-03-23,996.6666666666666,0.06416005146623963,0.0010811065607067155,0.10587950803858585,0.03352440110666256,4.909999999999999,0.09360465017889974,0.06399999999999999,624.3333333333333,5.666666666666667,32.33333333333333,4.8927799001879375,97169842.33333333,97550000.0
2020-03-24,1298.0,0.08746905195883865,0.0011292840090669203,0.13159734935627473,0.048064112394190575,2.44,0.07648247923557493,0.087,798.0,6.0,18.0,2.4295455942593542,97132038.0,97550000.0
2020-03-25,1288.6666666666667,0.0753296983139324,0.0007959185643345858,0.12984293431811664,0.04368686759856689,2.7666666666666666,0.07358155163181385,0.075,2807.333333333333,6.0,20.333333333333332,2.7527636774987188,97073595.0,97550000.0
2020-03-26,1279.3333333333333,0.06319034466902614,0.00046255311960225127,0.1280885192799585,0.039309622802943193,3.0933333333333333,0.07068062402805278,0.063,4816.666666666666,6.0,22.666666666666668,3.075981760738083,97015152.0,97550000.0
2020-03-27,1270.0,0.05105099102411987,0.00012918767486991658,0.12633410424180042,0.034932378007319506,3.42,0.0677796964242917,0.051,6826.0,6.0,25.0,3.3991998439774473,96956709.0,97550000.0
2020-03-28,948.0,0.05538968099084982,0.0003330604390405873,0.09025265734742281,0.024670300941773735,3.415,0.08177620171481897,0.055499999999999994,3817.5,7.0,27.5,3.2911788267896807,96893676.33333333,97550000.0
2020-03-29,626.0,0.059728370957579775,0.000536933203211258,0.05417121045304521,0.014408223876227963,3.41,0.09577270700534625,0.06,809.0,8.0,30.0,3.1831578096019135,96830643.66666667,97550000.0
2020-03-30,1008.6666666666666,0.07888872182677703,0.000903626785498851,0.07680764225124072,0.02079479627523041,3.2266666666666666,0.07647805907047744,0.079,1560.3333333333333,9.0,35.0,3.075136792414147,96767611.0,97550000.0
2020-03-31,1135.4,0.08215072804192579,0.0005613113362866403,0.09061780650995906,0.023714809386546718,3.441,0.08488797260890489,0.0822,2481.0,8.2,32.7,3.444453948487955,96692513.0,97550000.0
2020-04-01,751.7,0.06356135755420605,0.0006144262338691947,0.06127714598918498,0.016176278501661374,3.3605,0.05956871358281042,0.06359999999999999,1431.5,8.1,30.85,3.345191434315735,96614605.0,97550000.0
2020-04-02,368.0,0.044971987066486335,0.000667541131451749,0.03193648546841091,0.008637747616776027,3.28,0.03424945455671594,0.045,382.0,8.0,29.0,3.2459289201435158,96536697.0,97550000.0
2020-04-03,950.0,0.07278958985217104,0.0007000941808974138,0.07967466269523604,0.01978978669088622,3.54,0.05954922467227024,0.073,4573.0,8.0,33.5,3.6287697038441826,96454083.0,97550000.0
2020-04-04,736.8,0.0593837733588005,0.0005652867737801676,0.06771041018141637,0.01634665294931175,3.6689999999999996,0.0535787147192998,0.0593,1321.6,7.2,31.1,4.1633481148641724,96365984.0,97550000.0
