end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-03-24,1054.0,0.003689086223501445,0.0003369001689442076,0.1057477365278494,0.020698071671435198,5.01,0.713715763012335,0.004,2172.0,6.0,35.0,4.9847072156057495,82372038.0,82790000.0
2020-03-25,944.5,0.002520414055124584,0.0005368788422367015,0.1019609848597479,0.01994703725223361,4.96,0.5014296661061242,0.002666666666666667,1630.3333333333335,5.666666666666667,32.166666666666664,4.92490998236502,82313595.0,82790000.0
2020-03-26,835.0,0.0013517418867477226,0.0007368575155291953,0.09817423319164639,0.019196002833032026,4.909999999999999,0.28914356919991335,0.0013333333333333335,1088.6666666666667,5.333333333333333,29.333333333333332,4.8651127491242905,82255152.0,82790000.0
2020-03-27,725.5,0.00018306971837086128,0.0009368361888216893,0.0943874815235449,0.018444968413830438,4.859999999999999,0.07685747229370259,0.0,547.0,5.0,26.5,4.805315515883561,82196709.0,82790000.0
2020-03-28,737.0,0.0011077081044693787,0.0009328550645140603,0.0797476488024183,0.022727569705814382,3.37,0.31430041426338984,0.001,548.0,6.0,22.0,3.3431062276845034,82129307.0,82790000.0
2020-03-29,590.6666666666666,0.001668423029699364,0.0005119454951804903,0.06310490490183615,0.018094206671862272,3.263333333333333,0.30515500892787034,0.0013333333333333333,812.6666666666666,6.0,22.0,3.092861012199541,82069860.0,82790000.0
2020-03-30,1146.6666666666667,0.011817273145857959,0.00048346849198949046,0.1113780137495714,0.03242899482636743,3.4166666666666665,0.09874919817640253,0.012000000000000002,6752.0,6.666666666666667,24.0,2.238642358497403,82007611.0,82790000.0
2020-03-31,838.7,0.006667600106279835,0.000646634235647128,0.08176000810655279,0.024030472377323205,3.3169999999999993,0.14236815134929723,0.006500000000000001,2638.9,6.5,24.1,3.295509944316947,81932513.0,82790000.0
2020-04-01,702.35,0.010893261412278553,0.0005687500543100207,0.060045057600921437,0.02397653922749591,2.4334999999999996,0.10755247799482423,0.01075,1719.45,8.25,20.05,2.4132694083826554,81854605.0,82790000.0
2020-04-02,566.0,0.01511892271827727,0.0004908658729729134,0.03833010709529008,0.02392260607766861,1.55,0.07273680464035125,0.015,800.0,10.0,16.0,1.5310288724483634,81776697.0,82790000.0
2020-04-03,939.0,0.008545700882354531,0.0008630490645724963,0.07372775847075655,0.03213647226076649,2.215,0.09825297328385946,0.0085,2961.0,8.5,19.5,2.1906131689817614,81694083.0,82790000.0
2020-04-04,914.7,0.016276705064151336,0.0005504507785584164,0.0644842736461543,0.031495800758334094,1.9779999999999998,0.07061486012355692,0.016399999999999998,1380.5,9.6,19.7,2.267021563957,81605984.0,82790000.0
2020-04-05,513.0,0.0172204003145265,0.00036236431752752923,0.03506217290711032,0.015335990819100705,2.1799999999999997,0.06689748843249826,0.0175,1028.5,10.0,22.5,2.343429958932238,81517885.0,82790000.0
2020-04-06,1227.5,0.032415570756468476,9.374283137869756e-05,0.07687206005696041,0.03434829128606096,2.1950000000000003,0.1120044973475896,0.0325,42574.5,10.5,25.0,1.8691304275878728,81444899.0,82790000.0
2020-04-07,913.5,0.009525001086520555,0.0009631326939750602,0.05888156425590342,0.02774049883222366,1.9899999999999998,0.06834661365792333,0.0095,628.5,10.0,22.0,2.034343293634497,81363904.0,82790000.0
