end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-03-30,766.0,0.11074333096637669,0.00010290567294064752,0.030645133066582127,0.005943539233540151,4.51,0.19740888000133539,0.111,5169.0,17.0,89.0,4.146304433106576,8919611.0,9702000.0
2020-03-31,681.5,0.04399496439679279,8.64703436779995e-05,0.04464884944965844,0.01173182262151265,3.4349999999999996,0.5471803360359435,0.044,5706.5,10.5,40.0,3.1314061178107604,8844513.0,9702000.0
2020-04-01,652.25,0.03171212232783613,0.00028347148952343935,0.031138555789508963,0.01235339407372616,2.3575,0.36779057292644457,0.0315,3303.25,17.25,36.5,2.1388597358792003,8766605.0,9702000.0
2020-04-02,623.0,0.01942928025887946,0.0004804726353688791,0.01762826212935949,0.01297496552593967,1.28,0.18840080981694562,0.019,900.0,24.0,33.0,1.1463133539476398,8688697.0,9702000.0
2020-04-03,662.0,0.04493428415036449,0.00021806529747171125,0.019987209307611314,0.008407874364209627,2.21,0.3330246108338275,0.045,2108.0,23.0,54.0,1.9603631653267368,8606083.0,9702000.0
2020-04-04,727.5,0.022686118667828957,0.00014552399543865725,0.02448424932245918,0.020870821398929464,1.54,0.21569001676679342,0.0225,4826.5,21.0,35.0,1.3581448866213153,8517984.0,9702000.0
2020-04-05,793.0,0.0004379531852934225,7.298269340560325e-05,0.028981289337307047,0.033333768433649304,0.87,0.09835542269975932,0.0,7545.0,19.0,16.0,0.7559266079158936,8429885.0,9702000.0
2020-04-06,1179.0,0.0004494006330905473,7.33053038604424e-05,0.03344238121267216,0.037652739517802465,0.89,0.17390849520718218,0.0,11169.0,24.0,21.0,0.7666089579468152,8356899.0,9702000.0
2020-04-07,1211.0,0.0016300024065379944,0.00020977740116595063,0.03353806075602105,0.0442847731024191,0.75,0.18141942532003114,0.002,4008.0,25.0,18.0,0.6397575757575757,8275904.0,9702000.0
2020-04-08,1022.0,0.020955225509994145,0.00031467481365164137,0.03129886960093555,0.06955913968712729,0.44,0.12209877418113375,0.021,2255.0,22.0,10.0,0.3714692063492064,8190896.0,9702000.0
2020-04-09,549.0,0.021098535810375386,3.6815396452092095e-05,0.019700609820340855,0.027524867788697508,0.7,0.12920520348189318,0.021,10355.0,19.0,13.0,0.5848953823953824,8106650.0,9702000.0
2020-04-10,915.5,0.011971222995571566,0.000655992674624915,0.027376764911597955,0.03865235478908578,0.69,0.08285380745834595,0.012,5526.5,22.0,15.0,0.5703661863533293,8018568.0,9702000.0
2020-04-11,1282.0,0.002843910180767746,0.0012751699527977377,0.03505292000285505,0.049779841789474054,0.68,0.03650241143479872,0.003,698.0,25.0,17.0,0.5558369903112761,7930486.0,9702000.0
2020-04-12,393.0,0.0189521844694251,7.139233621331442e-05,0.011320278704308958,0.02036997710560532,0.54,0.10338154886328957,0.019,3822.0,24.0,13.0,0.4372163265306122,7855320.0,9702000.0
2020-04-13,854.5,0.017785585678882852,0.00012900164108304953,0.019878593048723477,0.044909619649322274,0.47000000000000003,0.08587833470384128,0.017750000000000002,4368.25,27.75,13.0,0.3778703360131931,7790564.0,9702000.0
2020-04-14,1316.0,0.016618986888340605,0.00018661094595278464,0.028436907393138,0.06944926219303922,0.4,0.06837512054439299,0.0165,4914.5,31.5,13.0,0.318524345495774,7725808.0,9702000.0
2020-04-15,1000.0,0.008794348933082473,0.00014169466795041274,0.02108370231358822,0.06103844654565738,0.33,0.04423995894317383,0.00875,4911.25,32.75,11.0,0.260418211708926,7637580.5,9702000.0
2020-04-16,684.0,0.000969710977824341,9.677838994804085e-05,0.013730497234038443,0.05262763089827553,0.26,0.02010479734195467,0.001,4908.0,34.0,9.0,0.20231207792207792,7549353.0,9702000.0
2020-04-17,1237.5,0.01057656307438098,0.00036625551265732144,0.03164095647028747,0.07011100841683492,0.445,0.07352053723322302,0.0105,2953.5,27.0,12.0,0.34224953669346525,7461809.0,9702000.0
2020-04-18,1331.75,0.005512514606975016,0.0002101060526633678,0.03133550768848161,0.06582418466298139,0.47250000000000003,0.05729295307149037,0.00525,10653.25,29.0,14.0,0.3592463154504226,7381215.0,9702000.0
2020-04-19,1426.0,0.0004484661395690527,5.395659266941414e-05,0.031030058906675758,0.06153736090912786,0.5,0.04106536890975772,0.0,18353.0,31.0,16.0,0.37624309420737995,7300621.0,9702000.0
2020-04-20,961.0,0.0020297580114328473,9.454746152631386e-05,0.02483740801158589,0.05434026004149345,0.46,0.07659647122484908,0.002,7058.0,26.0,12.0,0.3427830199958772,7229741.0,9702000.0
2020-04-21,656.0,0.0001812264950553876,2.80273094219024e-05,0.01736260112779762,0.03924157898226448,0.44,0.09150030014289735,0.0,16253.0,26.0,11.0,0.324393514739229,7152877.0,9702000.0
2020-04-22,1222.0,0.002054428806775248,0.0002747989138643975,0.040033365739301253,0.06262800156825768,0.64,0.0549979816721179,0.002,3088.0,21.0,13.0,0.46690843125128845,7078040.0,9702000.0
2020-04-23,894.0,0.00094669994324402,4.6425941550540046e-05,0.019380387624009197,0.04785940153550574,0.4,0.0661065622551872,0.001,13372.0,32.0,12.0,0.2883164296021439,6993115.0,9702000.0
2020-04-24,936.75,0.0010392353844272987,5.2778927368890354e-05,0.02022739485367857,0.049108327962503036,0.4175,0.052910064905787084,0.001,12837.5,31.5,12.75,0.2967187945784374,6899184.5,9702000.0
2020-04-25,979.5,0.0011317708256105776,5.913191318724067e-05,0.021074402083347946,0.05035725438950033,0.435,0.03971356755638697,0.001,12303.0,31.0,13.5,0.30512115955473096,6805254.0,9702000.0
