end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-04-08,1151.0,0.02325157239531714,0.001654524987790508,0.03537906744962279,0.003426305182511729,6.8,0.4938224321027656,0.023,483.0,22.0,233.0,5.908802497831743,10018896.0,11530000.0
2020-04-09,1032.25,0.03427398021059362,0.0013690108409121437,0.029499204649060244,0.0025697288868837967,10.495,0.709542543418318,0.034,591.25,26.25,174.75,8.96252220294883,9935002.0,11530000.0
2020-04-10,913.5,0.045296388025870105,0.0010834966940337796,0.0236193418484977,0.0017131525912558645,14.189999999999998,0.9252626547338705,0.045,699.5,30.5,116.5,12.016241908065915,9851108.0,11530000.0
2020-04-11,794.75,0.05631879584114659,0.0007979825471554155,0.01773947904793516,0.0008565762956279322,17.884999999999998,1.1409827660494227,0.056,807.75,34.75,58.25,15.069961613183,9767214.0,11530000.0
2020-04-12,676.0,0.06734120365642307,0.0005124684002770513,0.011859616247372612,0.0,21.58,1.3567028773649752,0.067,916.0,39.0,0.0,18.123681318300086,9683320.0,11530000.0
2020-04-13,620.0,0.051916628616610686,0.0004787674866864781,0.010595421280296738,0.0,20.89,1.4611089500174606,0.051500000000000004,898.0,40.0,0.0,17.43074445793582,9618564.0,11530000.0
2020-04-14,564.0,0.03649205357679831,0.00044506657309590497,0.009331226313220864,0.0,20.2,1.5655150226699461,0.036,880.0,41.0,0.0,16.737807597571553,9553808.0,11530000.0
2020-04-15,626.875,0.03383760520535786,0.00042422235771213187,0.00950853169795413,0.004203015482989916,17.713749999999997,1.4165733314451092,0.033374999999999995,1102.75,44.375,2.75,14.675513048568952,9472837.0,11530000.0
2020-04-16,689.75,0.03118315683391741,0.00040337814232835876,0.009685837082687394,0.008406030965979833,15.2275,1.2676316402202723,0.03075,1325.5,47.75,5.5,12.613218499566349,9391866.0,11530000.0
2020-04-17,752.625,0.028528708462476966,0.0003825339269445857,0.00986314246742066,0.012609046448969749,12.741249999999999,1.1186899489954354,0.028124999999999997,1548.25,51.125,8.25,10.550923950563746,9310895.0,11530000.0
2020-04-18,815.5,0.025874260091036518,0.0003616897115608126,0.010040447852153925,0.016812061931959665,10.254999999999999,0.9697482577705986,0.0255,1771.0,54.5,11.0,8.488629401561145,9229924.0,11530000.0
2020-04-19,878.375,0.02321981171959607,0.0003408454961770395,0.01021775323688719,0.02101507741494958,7.768749999999999,0.8208065665457617,0.022875,1993.75,57.875,13.75,6.4263348525585435,9148953.0,11530000.0
2020-04-20,941.25,0.020565363348155626,0.00032000128079326645,0.010395058621620455,0.025218092897939498,5.282499999999999,0.6718648753209249,0.020249999999999997,2216.5,61.25,16.5,4.3640403035559405,9067982.0,11530000.0
2020-04-21,1004.125,0.017910914976715177,0.00029915706540949334,0.01057236400635372,0.029421108380929414,2.796249999999997,0.522923184096088,0.017625,2439.25,64.625,19.25,2.3017457545533375,8987011.0,11530000.0
2020-04-22,1067.0,0.01525646660527473,0.00027831285002572024,0.010749669391086986,0.03362412386391933,0.31,0.3739814928712511,0.015,2662.0,68.0,22.0,0.2394512055507372,8906040.0,11530000.0
2020-04-23,1174.0,0.01044236894173287,0.00020228276723596028,0.009922151473658164,0.03579297294381071,0.27666666666666667,0.3579057745872955,0.010333333333333333,8172.0,84.0,22.666666666666668,0.2120476478751084,8815111.333333334,11530000.0
2020-04-24,1281.0,0.005628271278191007,0.00012625268444620036,0.009094633556229342,0.03796182202370208,0.24333333333333335,0.34183005630333996,0.005666666666666667,13682.0,100.0,23.333333333333332,0.1846440901994796,8724182.666666666,11530000.0
2020-04-25,1388.0,0.0008141736146491454,5.022260165644043e-05,0.00826711563880052,0.04013067110359346,0.21,0.32575433801938436,0.001,19192.0,116.0,24.0,0.1572405325238508,8633254.0,11530000.0
2020-04-26,1162.0,0.06397774934193753,4.3152376350522e-05,0.009336526910702398,0.01236043073558822,0.7,0.40254733509237317,0.064,18699.0,86.0,65.0,0.5195982220294882,8558525.0,11530000.0
2020-04-27,1300.5,0.032059117665592,0.00017549848757650983,0.01320161835448088,0.014096838696606488,0.88,0.2451559613238802,0.032,10972.5,72.0,64.0,0.6465475117085864,8486063.5,11530000.0
2020-04-28,1439.0,0.00014048598924646999,0.00030784459880249765,0.017066709798259364,0.015833246657624755,1.06,0.08776458755538723,0.0,3246.0,58.0,63.0,0.7734968013876844,8413602.0,11530000.0
2020-04-29,980.0,0.030306745761322383,0.00011573724459133951,0.006737535957646815,0.020371042324916447,0.32,0.22739644135347808,0.03,5880.0,101.0,33.0,0.23135789071986124,8336114.0,11530000.0
2020-04-30,918.0,0.026043872524075792,0.00022295025895305068,0.007154633242967418,0.019203224098943913,0.36,0.1442089923154325,0.026,3840.0,89.5,32.5,0.2576776097137901,8261168.5,11530000.0
2020-05-01,856.0,0.021780999286829198,0.00033016327331476184,0.0075717305282880214,0.01803540587297138,0.4,0.06102154327738687,0.022,1800.0,78.0,32.0,0.283997328707719,8186223.0,11530000.0
2020-05-02,1104.0,0.0001145120779394073,0.00011950020175197817,0.011202853564881458,0.01755971803459956,0.63,0.067219955466869,0.0,6415.0,68.0,43.0,0.4427297406764961,8102657.0,11530000.0
2020-05-03,1114.75,0.012375873217481329,0.00017381245977186996,0.011133259150807658,0.016129874284737472,0.6775,0.07280293323645468,0.01225,4910.5,68.75,48.25,0.4712146155680833,8024801.0,11530000.0
2020-05-04,1125.5,0.024637234357023252,0.00022812471779176175,0.011063664736733855,0.014700030534875381,0.7250000000000001,0.07838591100604034,0.0245,3406.0,69.5,53.5,0.49969949045967044,7946945.0,11530000.0
2020-05-05,1225.0,0.02076183411369467,0.00014940629007543284,0.011206150233098382,0.019986509236511404,0.54,0.11090549925516484,0.021,5693.0,75.0,42.0,0.36846026539462273,7867309.0,11530000.0
2020-05-06,1086.75,0.03323458040398339,0.00023965024716205932,0.008546408969061906,0.027088469939457717,0.35000000000000003,0.14184209501981537,0.03325,4227.0,97.75,30.25,0.23754692020815266,7775795.5,11530000.0
2020-05-07,948.5,0.04570732669427211,0.0003298942042486858,0.005886667705025428,0.03419043064240403,0.16,0.1727786907844659,0.0455,2761.0,120.5,18.5,0.10663357502168257,7684282.0,11530000.0
2020-05-08,1008.0,0.02400260819129328,0.0004678861786326929,0.005322449056595622,0.03193952733119157,0.16,0.20024898863076399,0.024,1496.0,131.0,21.0,0.10535210407632263,7591936.0,11530000.0
2020-05-09,1068.0,0.04900706789059652,0.00046447610773058976,0.0053966926270858535,0.05647284620862561,0.12,0.17698798939654647,0.049,1655.25,136.0,15.75,0.07844639375542065,7510118.5,11530000.0
2020-05-10,1128.0,0.07401152758989976,0.0004610660368284867,0.005470936197576085,0.08100616508605965,0.08,0.15372699016232894,0.07400000000000001,1814.5,141.0,10.5,0.05154068343451865,7428301.0,11530000.0
2020-05-11,1235.0,0.10192032991682651,4.429956984411659e-06,0.007250989839043636,0.05910375156992226,0.11,0.24423027828036042,0.102,193599.0,118.0,14.0,0.07014523503902863,7352496.0,11530000.0
2020-05-12,1084.5,0.0810937312433935,0.0002276042061992806,0.004150270887655795,0.06559458979234815,0.06,0.1659305390482427,0.08099999999999999,97518.5,367.5,11.0,0.0381875273200347,7267739.0,11530000.0
2020-05-13,934.0,0.06026713256996051,0.0004507784554141495,0.0010495519362679537,0.07208542801477405,0.01,0.08763079981612498,0.06,1438.0,617.0,8.0,0.006229819601040764,7182982.0,11530000.0
2020-05-14,984.6666666666666,0.07601340559972788,0.0003038093089128929,0.0008904784577580141,0.07066534331540647,0.01,0.07196296165422877,0.076,26426.0,850.3333333333334,9.0,0.006146833188782886,7087298.666666667,11530000.0
2020-05-15,1035.3333333333333,0.09175967862949524,0.00015684016241163633,0.0007314049792480745,0.06924525861603889,0.01,0.05629512349233258,0.092,51414.0,1083.6666666666667,10.0,0.006063846776525008,6991615.333333333,11530000.0
2020-05-16,1086.0,0.10750595165926262,9.871015910379731e-06,0.0005723315007381348,0.06782517391667131,0.01,0.04062728533043638,0.108,76402.0,1317.0,11.0,0.00598086036426713,6895932.0,11530000.0
2020-05-17,1120.8,0.11278295255972341,8.919973785211439e-05,0.004787187623642295,0.0730174789405466,0.05800000000000001,0.1053542534016969,0.11280000000000001,14261.6,165.4,10.2,0.034688990112749354,6895932.0,11530000.0
2020-05-18,1023.6666666666666,0.22141233773435945,0.0001905442244540844,0.0027465017237491176,0.06812196034405192,0.035,0.08072051970075961,0.2215,6958.833333333333,6084.5,10.166666666666666,0.02073752356172304,6814918.166666667,11530000.0
2020-05-19,810.0,0.01683863379130629,0.00025263829487043044,0.0031888741530283348,0.056395599086859864,0.06,0.08664664814295006,0.017,2226.0,176.0,9.0,0.03501157155247181,6728057.0,11530000.0
2020-05-20,1260.0,0.04654524060613898,0.00045385554131539634,0.004027769752330275,0.0922301044932638,0.04,0.1352757513528408,0.04666666666666667,2076.3333333333335,234.0,9.0,0.02300956808326106,6632508.0,11530000.0
2020-05-21,1016.2,0.19682253583005882,0.00024311295505338384,0.0041343307685415736,0.06613188530817933,0.052000000000000005,0.10915673425687707,0.1968,3141.6,484.8,10.4,0.02926387788378144,6512337.6,11530000.0
2020-05-22,1068.0,0.09390102714751482,0.0005049502158312606,0.00660204300241203,0.0656853852204262,0.09333333333333334,0.06819086219489161,0.09400000000000001,1726.3333333333333,111.33333333333333,11.0,0.052030103498120844,6427576.0,11530000.0
2020-05-23,1093.5,0.2214947580545228,0.00029289301566223856,0.006307036127522604,0.06620313155141386,0.075,0.07356383019021745,0.22175,3503.0,130.25,11.0,0.04180990459670425,6427576.0,11530000.0
2020-05-24,964.25,0.14213264963557867,0.0005053397397531196,0.0054956723631543625,0.05947775559672892,0.08249999999999999,0.08112215119576494,0.14200000000000002,1851.0,129.25,11.0,0.04539533976582827,6351278.75,11530000.0
2020-05-25,1060.5,0.15814009163511678,0.0007180872703667976,0.006352801705399101,0.07267179106815645,0.075,0.10895216302031865,0.158,2186.0,115.5,9.75,0.03982472029488291,6122387.0,11530000.0
2020-05-26,828.0,0.37639374915574936,8.285710973557753e-05,0.0036962845306144285,0.05831347595331845,0.05333333333333334,0.0931326582742934,0.37633333333333335,9357.0,162.66666666666666,9.333333333333334,0.02801642555651922,6064088.333333333,11530000.0
