end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-04-02,561.0,0.017771194374220183,0.00035027108255008193,0.07375017931168798,0.002592208288157701,24.62,0.08299049591320588,0.018,1112.0,5.0,150.0,24.311281773790373,79796697.0,80810000.0
2020-04-03,496.6666666666667,0.015506707932941148,0.0004444933700677136,0.06180715119697241,0.002630050096660991,20.156666666666666,0.083162842163245,0.015666666666666666,875.6666666666666,5.333333333333333,131.33333333333334,19.89192677816277,79710426.33333333,80810000.0
2020-04-04,432.33333333333337,0.013242221491662112,0.0005387156575853453,0.04986412308225684,0.002667891905164281,15.693333333333333,0.08333518841328412,0.013333333333333332,639.3333333333333,5.666666666666667,112.66666666666666,15.472571782535166,79624155.66666667,80810000.0
2020-04-05,368.0,0.010977735050383075,0.0006329379451029769,0.03792109496754127,0.002705733713667571,11.23,0.08350753466332324,0.011,403.0,6.0,94.0,11.053216786907562,79537885.0,80810000.0
2020-04-06,1387.0,0.023550472285262965,0.0008058560447862653,0.14034798073199103,0.00832125182096112,15.01,0.1398868920734868,0.024,1195.0,6.0,115.0,14.76015510444252,79464899.0,80810000.0
2020-04-07,801.0,0.01873162122192619,0.00037334894486367766,0.08731427437451189,0.005253976075750227,15.23,0.1254585445917009,0.019,1489.0,6.0,105.0,14.96122828758817,79383904.0,80810000.0
2020-04-08,566.0,0.02013019695885895,0.000140837636189834,0.053596174050320876,0.0036801158932645035,13.74,0.0427649268276659,0.02,2790.0,7.0,106.0,13.483069311223858,79298896.0,80810000.0
2020-04-09,1087.0,0.017750550119834483,0.000537683338966814,0.10839824793839324,0.008616832973985366,11.63,0.13442951068572467,0.018,1403.0,6.0,87.0,11.400400686796191,79214650.0,80810000.0
2020-04-10,1312.0,0.020077574865247513,0.00043385888663114726,0.12158230234325716,0.009808386420182495,11.63,0.0874648226505809,0.02,2100.0,7.0,92.0,11.386531469248856,79118281.0,80810000.0
2020-04-11,638.0,0.0169632207857277,0.0002033870792345463,0.05376657369257049,0.003723713741453684,13.46,0.031573388075482926,0.017,2178.0,8.0,118.0,13.164930349709195,79038486.0,80810000.0
2020-04-12,1329.0,0.019964938908218793,0.0002213087257472444,0.11000101396200622,0.009197666297923231,11.45,0.04784998487608236,0.02,4170.0,8.0,100.0,11.188343200098998,78963320.0,80810000.0
2020-04-13,1153.0,0.016772570891083027,0.0004372201490609757,0.09862020160154594,0.008172257323729533,11.26,0.06511935941837337,0.017,1831.0,8.0,97.0,10.992842182898155,78892680.0,80810000.0
2020-04-14,1260.0,0.01627505372406385,0.0006171565314395972,0.09447096969064853,0.010250588375876958,8.62,0.043343565544571104,0.016,1427.5,8.5,85.5,8.409199665387947,78833808.0,80810000.0
2020-04-15,1256.25,0.0168039144846759,0.000551373990730719,0.0881274814245426,0.010949271781366999,7.6475,0.05122598268359248,0.01675,1628.75,9.5,80.0,7.453194259590397,78745580.5,80810000.0
2020-04-16,1252.5,0.017332775245287948,0.0004855914500218409,0.0817839931584367,0.011647955186857038,6.675000000000001,0.05910839982261386,0.0175,1830.0,10.5,74.5,6.4971888537928475,78657353.0,80810000.0
2020-04-17,1192.5,0.012435228372861835,0.0007420988790203619,0.08032318216004092,0.011532442974406646,6.5649999999999995,0.10091758196006612,0.0125,2350.0,10.0,71.5,6.383007005135503,78569809.0,80810000.0
2020-04-18,1217.75,0.019193812499026096,0.0005198596829076704,0.07132957295413046,0.01705878547694637,4.6075,0.06017507791710838,0.01925,2625.0,11.5,54.75,4.47712932641381,78489215.0,80810000.0
2020-04-19,1243.0,0.025952396625190353,0.00029762048679497907,0.06233596374822,0.022585127979486096,2.65,0.019432573874150642,0.026,2900.0,13.0,38.0,2.5712516476921174,78408621.0,80810000.0
2020-04-20,1106.0,0.01736227334510524,0.0004604618064052952,0.058900083438403965,0.014237708557029305,3.94,0.09531226427222046,0.017,1668.0,13.0,53.0,3.8194616945922535,78337741.0,80810000.0
2020-04-21,1438.0,0.01539625372209575,0.0007482759741388862,0.06547494217285399,0.019279340816044602,3.22,0.09568227343725348,0.015,1334.0,15.0,51.0,3.1184262336344517,78260877.0,80810000.0
2020-04-22,258.0,0.019098167696132883,0.00010095542351740994,0.010370733035308347,0.0038496008137335687,2.57,0.028173465750243168,0.019,1774.0,17.0,46.0,2.486550214082415,78186040.0,80810000.0
2020-04-23,1040.0,0.016652246596668814,0.000541668867274931,0.04867684031509675,0.016706421362107406,2.765,0.045240854312980014,0.0165,1477.5,14.5,43.0,2.672312621890855,78101115.0,80810000.0
2020-04-24,1046.5,0.01491809677932405,0.0005700121050365858,0.046989272470813075,0.01627145301452571,2.746666666666666,0.04490389616437538,0.014833333333333332,1337.5,15.0,44.5,2.1725595759497587,78007184.5,80810000.0
2020-04-25,1152.090909090909,0.016529810265725874,0.0005799934134856957,0.04733077140760756,0.01875348545980121,2.3854545454545457,0.04597671305803181,0.016636363636363637,12643.636363636364,16.545454545454547,41.90909090909091,1.6728065300086623,77913254.0,80810000.0
2020-04-26,762.6666666666666,0.012508336282677529,0.0004991297737366064,0.03075411032172537,0.013237566764917042,2.2077777777777774,0.06324731335911009,0.012444444444444445,1339.111111111111,16.88888888888889,39.77777777777778,1.9168254516767727,77838525.0,80810000.0
2020-04-27,840.25,0.016508501981020218,0.0004346294133903202,0.031171008759562822,0.015323674445187313,1.95875,0.07144981910189571,0.01625,3494.5,18.125,37.625,1.3189510348347977,77766063.5,80810000.0
2020-04-28,1101.4285714285713,0.019125581888847946,0.00043911262284771467,0.03779283779208117,0.025202741086993857,1.5357142857142854,0.08174420284315116,0.019,2231.8571428571427,19.857142857142858,31.428571428571427,0.7210766179928226,77693602.0,80810000.0
2020-04-29,978.4,0.013824740360426541,0.0006249098192044036,0.03061264231760854,0.022853366381840563,1.298,0.11547856749631802,0.013800000000000002,1377.3,21.7,29.5,1.0661290253681475,77616114.0,80810000.0
2020-04-30,1109.111111111111,0.023764360857586316,0.0004688710659521903,0.032769398178571135,0.02871414854650624,1.1011111111111112,0.12089925439718884,0.023666666666666666,5372.777777777777,23.11111111111111,26.444444444444443,0.9309065632966217,77553154.0,80810000.0
2020-05-01,1071.4545454545455,0.021275973617915427,0.0004878042602331874,0.03106026297151052,0.030847368832,1.0145454545454546,0.11960338451823233,0.021181818181818184,7218.636363636364,23.545454545454547,24.545454545454547,0.4984833060264819,77466223.0,80810000.0
2020-05-02,972.375,0.02314294223157847,0.00044542257685852764,0.026501210715397405,0.031729286995253556,0.8024999999999999,0.12440751689063316,0.023,8035.875,25.25,20.75,0.6511595936146517,77382657.0,80810000.0
2020-05-03,1079.0,0.02893168711147073,0.00023786434943883918,0.030136954935489357,0.03598281962364566,0.8127272727272729,0.12868892346624528,0.029090909090909098,4510.272727272727,24.363636363636363,20.545454545454547,0.7626017701309952,77411905.66666667,80810000.0
2020-05-04,968.2857142857143,0.015697160504035117,0.0005104229218441295,0.024117962110356318,0.042122265542626124,0.5728571428571428,0.07100178608107378,0.015571428571428571,1534.857142857143,27.714285714285715,16.142857142857142,0.5479428342496508,77292367.28571428,80810000.0
2020-05-05,1025.5,0.01998946708455747,0.00040727471318614404,0.025891745676278687,0.04634577720865364,0.545,0.05980843130170814,0.02,3987.875,26.875,15.0,0.5207673561440416,77216990.5,80810000.0
2020-05-06,855.125,0.017477481270173394,0.00044009544085875396,0.02082625645195023,0.039405901773287205,0.51375,0.06472162717933957,0.0175,2892.5,28.125,14.625,0.490459486093924,77145682.25,80810000.0
2020-05-07,1058.375,0.017277001378979362,0.0005671051375407365,0.02583093202276858,0.055200695053093704,0.45625000000000004,0.04978597133487816,0.01725,4182.5,28.25,12.875,0.4349328613568865,77032064.75,80810000.0
2020-05-08,1051.75,0.021084836281452423,0.00045656137049383626,0.025837036103914333,0.05583949065346476,0.44875,0.047424873955622206,0.021249999999999998,24771.875,28.0,12.5,0.4273313020356391,76952738.75,80810000.0
2020-05-09,925.3,0.017381447397517846,0.000426437277236022,0.022930586211685006,0.051463528580774597,0.434,0.036436483666024234,0.017400000000000002,2385.9,27.7,12.0,0.41285014508105433,76871936.0,80810000.0
2020-05-10,1177.4285714285713,0.01911171524881825,0.0003791754826169446,0.03150494161279104,0.06981724766328616,0.4414285714285714,0.029268757805971195,0.019,3634.285714285714,25.571428571428573,11.142857142857142,0.41932636517757704,76763793.85714285,80810000.0
2020-05-11,920.5714285714286,0.007525348109098771,0.0005703196335667437,0.023755227775633648,0.05290463186743758,0.44,0.025154733832111326,0.007571428571428572,1198.0,26.714285714285715,11.857142857142858,0.4176682122615659,76708570.28571428,80810000.0
2020-05-12,1338.5,0.030283619716151684,0.00016909339097914,0.03456478534165774,0.07809019792703559,0.43,0.025264500431264793,0.03,6466.0,26.5,11.0,0.4077709847791115,76632496.0,80810000.0
2020-05-13,1078.0,0.015085015577952568,0.00047258594362877703,0.027906883017797014,0.062446274710121805,0.434,0.020559782309935916,0.015000000000000003,1788.2,26.6,11.4,0.4110074911025863,76531032.4,80810000.0
2020-05-14,1150.6666666666667,0.012050585006470218,0.0005829634586232102,0.02899722706293999,0.06720213678169355,0.42166666666666663,0.021337125117201674,0.012000000000000002,7388.5,27.333333333333332,11.333333333333334,0.3989839220806006,76462982.0,80810000.0
